title,pubDate,link
Raymond Soubie : « Reculer l’âge de départ à la retraite est plus une réforme de début de quinquennat que de fin »,"Thu, 10 Jun 2021 15:00:12 +0200",https://www.lemonde.fr/politique/article/2021/06/10/retraites-reculer-l-age-de-depart-est-plus-une-reforme-de-debut-de-quinquennat-que-de-fin_6083615_823448.html
Enlèvement de Mia : un ex-militaire interpellé dans les Hautes-Pyrénées,"Thu, 10 Jun 2021 13:13:07 +0200",https://www.lemonde.fr/societe/article/2021/06/10/enlevement-de-mia-un-ex-militaire-interpelle-dans-les-hautes-pyrenees_6083608_3224.html
Régionales 2021 : la dynamique en trompe-l’œil du Rassemblement national,"Thu, 10 Jun 2021 12:00:11 +0200",https://www.lemonde.fr/politique/article/2021/06/10/regionales-2021-la-dynamique-en-trompe-l-oeil-du-rassemblement-national_6083599_823448.html
Vaccins contre le Covid-19 : le Parlement européen en faveur d’une levée des brevets,"Thu, 10 Jun 2021 13:01:20 +0200",https://www.lemonde.fr/planete/article/2021/06/10/vaccins-contre-le-covid-19-le-parlement-europeen-en-faveur-d-une-levee-des-brevets_6083606_3244.html
"Aux Etats-Unis, bataille pour des noms d’oiseaux plus inclusifs","Thu, 10 Jun 2021 12:27:45 +0200",https://www.lemonde.fr/big-browser/article/2021/06/10/aux-etats-unis-bataille-pour-des-noms-d-oiseaux-plus-inclusifs_6083604_4832693.html
"Euro 2021 : interpellée par Moscou, l’UEFA impose de modifier le maillot « politique » de l’Ukraine","Thu, 10 Jun 2021 12:20:04 +0200",https://www.lemonde.fr/sport/article/2021/06/10/euro-2021-interpellee-par-moscou-l-uefa-impose-de-modifier-le-maillot-politique-de-l-ukraine_6083603_3242.html
"Elections régionales : en Auvergne-Rhône-Alpes, Laurent Wauquiez laboure le terrain du Rassemblement national","Thu, 10 Jun 2021 12:00:21 +0200",https://www.lemonde.fr/politique/article/2021/06/10/regionales-en-auvergne-rhone-alpes-laurent-wauquiez-laboure-le-terrain-du-rassemblement-national_6083602_823448.html
Covid-19 : 88 800 créations nettes d’emplois au premier trimestre 2021,"Thu, 10 Jun 2021 11:41:47 +0200",https://www.lemonde.fr/economie/article/2021/06/10/l-emploi-salarie-plus-haut-qu-attendu-en-france-au-premier-trimestre-2021_6083597_3234.html
Eclipse partielle de Soleil : où et quand l’observer ?,"Thu, 10 Jun 2021 11:39:19 +0200",https://www.lemonde.fr/sciences/article/2021/06/10/eclipse-partielle-de-soleil-ou-et-quand-l-observer_6083596_1650684.html
"Amiral Pierre Vandier : En Indo-Pacifique, « nous affrontons une logique d’étouffement »","Thu, 10 Jun 2021 11:30:46 +0200",https://www.lemonde.fr/international/article/2021/06/10/amiral-pierre-vandier-en-indo-pacifique-nous-affrontons-une-logique-d-etouffement_6083594_3210.html
